"panel","year","statistic","grid_point","value"
"control","1996","quantile","p0.999",2.71772554435244
"control","1997","quantile","p0.950",1.61682780416012
"control","1997","quantile","p0.990",2.16988380009806
"control","1997","quantile","p0.995",2.42038039409634
"control","1997","quantile","p0.999",2.7763773112864
"control","1998","quantile","p0.950",1.60524027368628
"control","1998","quantile","p0.990",2.2411874218573
"control","1998","quantile","p0.995",2.45068172886322
"control","1998","quantile","p0.999",2.86067593782021
"control","1999","quantile","p0.950",1.63426791777427
"control","1999","quantile","p0.990",2.23791148348427
"control","1999","quantile","p0.995",2.44382898022735
"control","1999","quantile","p0.999",2.77548037794369
"control","2000","quantile","p0.950",1.6155276091061
"control","2000","quantile","p0.990",2.20324029844519
"control","2000","quantile","p0.995",2.38591724187283
"control","2000","quantile","p0.999",2.75876393161758
"control","2001","quantile","p0.950",1.63351882759677
"control","2001","quantile","p0.990",2.24527648150941
"control","2001","quantile","p0.995",2.45335918881867
"control","2001","quantile","p0.999",2.82860937414004
"control","2002","quantile","p0.950",1.59585108373794
"control","2002","quantile","p0.990",2.20774597823064
"control","2002","quantile","p0.995",2.39189166908183
"control","2002","quantile","p0.999",2.78269446101311
"control","2003","quantile","p0.950",1.63182583820203
"control","2003","quantile","p0.990",2.21122347087553
"control","2003","quantile","p0.995",2.38771009709877
"control","2003","quantile","p0.999",2.70125802548789
"control","2004","quantile","p0.950",1.60268752855767
"control","2004","quantile","p0.990",2.21261986801227
"control","2004","quantile","p0.995",2.39239708043821
"control","2004","quantile","p0.999",2.80171234376468
"control","2005","quantile","p0.950",1.61309697547259
"control","2005","quantile","p0.990",2.19828407546903
"control","2005","quantile","p0.995",2.39599914803592
"control","2005","quantile","p0.999",2.89196250032682
"control","2006","quantile","p0.950",1.59096446531481
"control","2006","quantile","p0.990",2.17978781166577
"control","2006","quantile","p0.995",2.34722188118603
"control","2006","quantile","p0.999",2.80249584871987
"control","2007","quantile","p0.950",1.60152612428469
"control","2007","quantile","p0.990",2.18101826779839
"control","2007","quantile","p0.995",2.3952373334727
"control","2007","quantile","p0.999",2.73187212976648
"control","2008","quantile","p0.950",1.6083602744109
"control","2008","quantile","p0.990",2.19518279235192
"control","2008","quantile","p0.995",2.4109147933994
"control","2008","quantile","p0.999",2.84053005813161
"control","2009","quantile","p0.950",1.62180147097847
"control","2009","quantile","p0.990",2.19944801162526
"control","2009","quantile","p0.995",2.38736200873456
"control","2009","quantile","p0.999",2.7779427368162
"control","2010","quantile","p0.950",1.59491534417982
"control","2010","quantile","p0.990",2.19001991292262
"control","2010","quantile","p0.995",2.37519635491985
"control","2010","quantile","p0.999",2.69853296612729
"control","2011","quantile","p0.950",1.58967669906121
"control","2011","quantile","p0.990",2.17155375207813
"control","2011","quantile","p0.995",2.37651714205066
"control","2011","quantile","p0.999",2.83052996294963
"control","2012","quantile","p0.950",1.60067158553565
"control","2012","quantile","p0.990",2.17385747415354
"control","2012","quantile","p0.995",2.40702694329478
"control","2012","quantile","p0.999",2.85550849540658
"control","2013","quantile","p0.950",1.59688513511855
"control","2013","quantile","p0.990",2.16845685577377
"control","2013","quantile","p0.995",2.35251929769105
"control","2013","quantile","p0.999",2.84138068460866
"control","2014","quantile","p0.950",1.60334940579761
"control","2014","quantile","p0.990",2.2028878612964
"control","2014","quantile","p0.995",2.38884726242126
"control","2014","quantile","p0.999",2.74452504565596
"control","2015","quantile","p0.950",1.59970850377029
"control","2015","quantile","p0.990",2.20755068605079
"control","2015","quantile","p0.995",2.39104932341256
"control","2015","quantile","p0.999",2.85156548035594
"control","2016","quantile","p0.950",1.60599566160659
"control","2016","quantile","p0.990",2.18630392700094
"control","2016","quantile","p0.995",2.40038893466165
"control","2016","quantile","p0.999",2.81473083800319
"control","2017","quantile","p0.950",1.60356938967534
"control","2017","quantile","p0.990",2.17693397518965
"control","2017","quantile","p0.995",2.37980958574595
"control","2017","quantile","p0.999",2.75175360503185
"control","2018","quantile","p0.950",1.60257197359325
"control","2018","quantile","p0.990",2.16329272981473
"control","2018","quantile","p0.995",2.35618505231826
"control","2018","quantile","p0.999",2.73857842148194
"control","2019","quantile","p0.950",1.60493659521828
"control","2019","quantile","p0.990",2.16268079474212
"control","2019","quantile","p0.995",2.38596329197196
"control","2019","quantile","p0.999",2.77302653282624
