"panel","year","threshold_name","threshold_value","n_exceed","thin_flag","ln_mu","ln_sigma","ln_status","gpd_xi","gpd_sigma","gpd_status","vuong_stat","vuong_p","winner"
"real",2006,"p95",1132.33842734167,1500,"",6.36680026113499,1.93958411866225,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2006,"p97.5",3286.72451602017,750,"",6.57965267690239,1.89680414969607,"converged",0.306892181561877,13517.2733028402,"converged",7.85871700789163,3.88087908021264e-15,"LN"
"real",2006,"p99",9754.03996532636,300,"",7.31795483678449,1.72417818699011,"converged",0.243951762454355,23891.3824683632,"converged",3.66739102780154,0.000245037924376065,"LN"
"real",2007,"p90",345.303153,3064,"",5.08860439288622,2.3694113027217,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2007,"p95",1310.363012,1532,"",6.67965024102965,1.88351916999854,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2007,"p97.5",3958.72855860059,766,"",6.28814514167902,1.98463843921521,"converged",0.305133686871111,15130.6398718802,"converged",7.79296262890871,6.54559858563474e-15,"LN"
"real",2007,"p99",11464.6696634528,307,"",7.16484381578018,1.76787429843947,"converged",0.239753337952302,26409.1686314448,"converged",3.63356630764136,0.000279530567823182,"LN"
"real",2008,"p90",414.2823679,3092,"",5.63311429989145,2.21745969698619,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2008,"p95",1592.24054505992,1546,"",6.82526416260394,1.84963685963332,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2008,"p97.5",4572.66853699999,773,"",6.94525150996219,1.82242788403971,"converged",0.288625149781659,16467.7094339508,"converged",7.33662416819881,2.19048591983659e-13,"LN"
"real",2008,"p99",13119.8879792192,310,"",7.66131134167076,1.64084358344691,"converged",0.226716208574856,28081.4398809229,"converged",3.4407509110003,0.000580102301421193,"LN"
"real",2009,"p90",335.181829539397,3088,"",5.06093873657987,2.32705844144176,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2009,"p95",1248.51847832249,1544,"",6.42764973331626,1.91474616346559,"converged",0.0956121948137608,20100.9391382584,"converged",23.2957204056084,4.89895183098059e-120,"LN"
"real",2009,"p97.5",3649.88508304032,772,"",6.01047795036627,2.01420430023259,"converged",0.302410337341344,13400.5263337874,"converged",7.67975048612119,1.59398749241807e-14,"LN"
"real",2009,"p99",10124.8318655059,309,"",8.06447378712119,1.51612941717083,"converged",0.221892372885985,23574.4441827424,"converged",3.36450622923662,0.000766807532815678,"LN"
"real",2010,"p90",370.3014772,3116,"",5.12650228594184,2.29821171969123,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2010,"p95",1348.00758090898,1558,"",6.22912263940804,1.97292879174469,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2010,"p97.5",3755.78158377673,779,"",6.48999756118936,1.90365798447986,"converged",0.292773614256981,14030.1488438365,"converged",7.55430233737643,4.21110954766162e-14,"LN"
"real",2010,"p99",10614.1856073271,312,"",7.64028903541875,1.62610200374418,"converged",0.235679912096139,24475.5761227359,"converged",3.54226223868814,0.000396710874185408,"LN"
"real",2011,"p90",442.3763156,3144,"",5.38321561315507,2.27168849608291,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2011,"p95",1627.22591176888,1572,"",6.40933614739903,1.96383297506787,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2011,"p97.5",4431.17451119076,786,"",7.26748152916367,1.73551754530312,"converged",0.279436325526268,16373.1836574117,"converged",7.20469650275991,5.81732743367331e-13,"LN"
"real",2011,"p99",12348.1022486301,315,"",8.58531668291177,1.41072032991117,"converged",0.213845222596258,28396.9616237412,"converged",3.16370126502297,0.00155776601444594,"LN"
"real",2012,"p90",443.011530925439,3151,"",5.33285372514612,2.29088737907621,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2012,"p95",1614.13301878116,1576,"",6.46094919990282,1.9561241920594,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2012,"p97.5",4470.07348417228,788,"",7.32415421813183,1.72084345853157,"converged",0.277188295970342,16585.1806735698,"converged",7.17045748195389,7.47475586537982e-13,"LN"
"real",2012,"p99",12899.8038693705,316,"",8.36034777401648,1.45706885024493,"converged",0.225951895924294,28398.7675921561,"converged",3.43137723203103,0.000600524878115528,"LN"
"real",2013,"p90",443.916511,3184,"",5.49975775216581,2.22892477550486,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2013,"p95",1643.59212757764,1592,"",6.26126353912114,1.99951445495456,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2013,"p97.5",4421.45479321262,796,"",7.14925687613015,1.76660096218115,"converged",0.281757214101235,16415.1743672408,"converged",7.35908754579711,1.85171565397746e-13,"LN"
"real",2013,"p99",12393.3483970966,319,"",8.40445494779709,1.45840529910165,"converged",0.224672623667717,28515.6546514624,"converged",3.41092738274235,0.000647423317210607,"LN"
"real",2014,"p90",459.678311264526,3164,"",5.47026944328713,2.24285965107504,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2014,"p95",1685.09720539999,1582,"",6.27382831975259,2.00473963181376,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2014,"p97.5",4561.06447248153,791,"",6.84674299088661,1.85755807708156,"converged",0.289223548178904,16976.8153062286,"converged",7.55312585047134,4.24934020242885e-14,"LN"
"real",2014,"p99",12755.4086279932,317,"",8.14725498870885,1.5441352261145,"converged",0.231575890377559,29670.1519035061,"converged",3.51743738005249,0.000435735147422271,"LN"
"real",2015,"p90",388.547603752316,3210,"",4.89097415517875,2.37840899244268,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2015,"p95",1361.42011184583,1605,"",6.22754493467298,1.99893524309168,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2015,"p97.5",3786.29282430794,803,"",6.28029011538627,1.99548179422734,"converged",0.305966449510382,15344.1704818427,"converged",8.2243229455488,1.96296530500565e-16,"LN"
"real",2015,"p99",10472.4191880269,321,"",8.34018383769731,1.50420929942609,"converged",0.237673436024983,27896.0816536066,"converged",3.68712774751465,0.000226799516326932,"LN"
"real",2016,"p90",372.6653723,3222,"",4.76907913954488,2.42169953015523,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
"real",2016,"p95",1320.46493831157,1611,"",6.13295039407191,2.03487727709349,"converged",NA,NA,"failed:0",NA,NA,"no_comparison"
