"year","k","source","hill_alpha"
1995,200,"control_lognormal",0.988110533278945
1995,500,"real",0.945561320317262
1995,500,"control_lognormal",0.919240704036796
1995,1000,"real",0.76102424009235
1995,1000,"control_lognormal",0.801436724888539
1996,50,"real",1.60896382535086
1996,50,"control_lognormal",1.39976922644427
1996,100,"real",1.2475256754611
1996,100,"control_lognormal",1.24266913235295
1996,200,"real",1.05343192123696
1996,200,"control_lognormal",1.14135036897174
1996,500,"real",0.946289278869237
1996,500,"control_lognormal",0.911029296480839
1996,1000,"real",0.776302704302174
1996,1000,"control_lognormal",0.812168431254911
1997,50,"real",1.52420886138748
1997,50,"control_lognormal",1.23097360862265
1997,100,"real",1.24137252581987
1997,100,"control_lognormal",1.17079832119406
1997,200,"real",1.10672430329278
1997,200,"control_lognormal",1.08657476126734
1997,500,"real",0.98329109043239
1997,500,"control_lognormal",0.971634629551421
1997,1000,"real",0.790807527025547
1997,1000,"control_lognormal",0.845688320714906
1997,2000,"real",0.667404948374015
1997,2000,"control_lognormal",0.663304488676752
1998,50,"real",1.4852185695756
1998,50,"control_lognormal",1.17127826735783
1998,100,"real",1.20081166011667
1998,100,"control_lognormal",1.12344219377669
1998,200,"real",1.07496745682723
1998,200,"control_lognormal",1.08140294958906
1998,500,"real",0.982873858640806
1998,500,"control_lognormal",0.951852866736956
1998,1000,"real",0.784907810985339
1998,1000,"control_lognormal",0.803543953236634
1998,2000,"real",0.676064674322717
1998,2000,"control_lognormal",0.681260273499081
1999,50,"real",1.63099222091703
1999,50,"control_lognormal",1.35636355583772
1999,100,"real",1.34542705453989
1999,100,"control_lognormal",1.20208703961973
1999,200,"real",1.07514226347157
1999,200,"control_lognormal",0.986442316422952
1999,500,"real",0.977815681581644
1999,500,"control_lognormal",0.88727024343079
1999,1000,"real",0.788760380350191
1999,1000,"control_lognormal",0.780666305554433
1999,2000,"real",0.669587341822652
1999,2000,"control_lognormal",0.659751337728299
2000,50,"real",1.59594591327639
2000,50,"control_lognormal",1.17415197018417
2000,100,"real",1.40267337492792
2000,100,"control_lognormal",1.07187879675617
2000,200,"real",1.04904545066387
2000,200,"control_lognormal",1.02469784290305
2000,500,"real",0.948572819221704
2000,500,"control_lognormal",0.996378702248307
2000,1000,"real",0.802078973609018
2000,1000,"control_lognormal",0.800706192743083
2000,2000,"real",0.668029154227126
2000,2000,"control_lognormal",0.657582334438435
2001,50,"real",1.67700966138658
2001,50,"control_lognormal",1.44637803430321
2001,100,"real",1.4346020970365
2001,100,"control_lognormal",1.20681404463478
2001,200,"real",1.04674333722495
2001,200,"control_lognormal",1.09016255852961
2001,500,"real",0.970063916366295
2001,500,"control_lognormal",0.907187576809798
2001,1000,"real",0.808225175209236
2001,1000,"control_lognormal",0.79967488420398
2001,2000,"real",0.681905360475942
2001,2000,"control_lognormal",0.683794304494845
2002,50,"real",1.50017155248004
2002,50,"control_lognormal",1.07648925465173
2002,100,"real",1.36208309147676
2002,100,"control_lognormal",1.23504492327292
2002,200,"real",1.03728695626132
2002,200,"control_lognormal",1.00874967165457
2002,500,"real",0.980257487392331
2002,500,"control_lognormal",1.00279858022552
2002,1000,"real",0.815729260147991
2002,1000,"control_lognormal",0.853409198928433
2002,2000,"real",0.684633534981791
2002,2000,"control_lognormal",0.692487071692693
2003,50,"real",1.54373178306153
2003,50,"control_lognormal",1.29949580138311
2003,100,"real",1.35098460552944
2003,100,"control_lognormal",1.3415913174712
2003,200,"real",1.0919476783022
2003,200,"control_lognormal",1.14294457609092
2003,500,"real",0.993590105439075
2003,500,"control_lognormal",0.844996981252453
2003,1000,"real",0.845553658095548
2003,1000,"control_lognormal",0.834266997384402
2003,2000,"real",0.673714505486731
2003,2000,"control_lognormal",0.700526323505435
2004,50,"real",1.93044491187134
2004,50,"control_lognormal",1.21319576746728
2004,100,"real",1.39864070428267
2004,100,"control_lognormal",1.28995170089608
2004,200,"real",1.1082643353529
2004,200,"control_lognormal",1.14875259786183
2004,500,"real",1.0145471659764
2004,500,"control_lognormal",0.982365848356294
2004,1000,"real",0.827770516187583
2004,1000,"control_lognormal",0.832489340133875
2004,2000,"real",0.661238282566085
2004,2000,"control_lognormal",0.683428858935369
2005,50,"real",1.7898599021855
2005,50,"control_lognormal",1.01002301950953
2005,100,"real",1.38808301324918
2005,100,"control_lognormal",1.11245310488225
2005,200,"real",1.12770150942959
2005,200,"control_lognormal",1.09336687790619
2005,500,"real",1.01924370492451
2005,500,"control_lognormal",0.926204062121517
2005,1000,"real",0.854681573734066
2005,1000,"control_lognormal",0.827941244563457
2005,2000,"real",0.678969512453933
2005,2000,"control_lognormal",0.699069732077337
2006,50,"real",1.8817034836115
2006,50,"control_lognormal",1.27691146611128
2006,100,"real",1.42696342475268
2006,100,"control_lognormal",1.22397376540333
2006,200,"real",1.19363598659533
2006,200,"control_lognormal",1.07369788980231
2006,500,"real",1.01888913694097
2006,500,"control_lognormal",0.965115765474328
2006,1000,"real",0.887294855227236
2006,1000,"control_lognormal",0.84996235679307
2006,2000,"real",0.675433668891072
2006,2000,"control_lognormal",0.685054281915114
2007,50,"real",1.88683301736645
2007,50,"control_lognormal",1.28205182606729
2007,100,"real",1.4704647144165
2007,100,"control_lognormal",1.40212022385358
2007,200,"real",1.1996795006345
2007,200,"control_lognormal",1.15227292154091
2007,500,"real",1.05037719853088
2007,500,"control_lognormal",0.983866313964371
2007,1000,"real",0.891328176317642
2007,1000,"control_lognormal",0.846242673127692
2007,2000,"real",0.697942421381379
2007,2000,"control_lognormal",0.705308365022846
2008,50,"real",1.90956105028707
2008,50,"control_lognormal",1.4101198032806
2008,100,"real",1.53444089206939
2008,100,"control_lognormal",1.44209955443637
2008,200,"real",1.23960299539787
2008,200,"control_lognormal",1.25147115989295
2008,500,"real",1.06702574044942
2008,500,"control_lognormal",0.995931571023041
2008,1000,"real",0.91724471410107
2008,1000,"control_lognormal",0.873133956355396
2008,2000,"real",0.709655653402273
2008,2000,"control_lognormal",0.748089866209489
2009,50,"real",1.80840131294275
2009,50,"control_lognormal",1.24979556698791
2009,100,"real",1.50742504681876
2009,100,"control_lognormal",1.17259726804037
2009,200,"real",1.19734583877818
2009,200,"control_lognormal",1.04894567665994
2009,500,"real",1.0318247385416
2009,500,"control_lognormal",0.984685426684223
2009,1000,"real",0.906563355018979
2009,1000,"control_lognormal",0.859644009128465
2009,2000,"real",0.708900620548908
2009,2000,"control_lognormal",0.744047024400077
2010,50,"real",1.63356796637125
2010,50,"control_lognormal",1.30580079945675
2010,100,"real",1.52549624512263
2010,100,"control_lognormal",1.23632471310892
2010,200,"real",1.27023405265111
2010,200,"control_lognormal",1.10589908567702
2010,500,"real",1.06506790677265
2010,500,"control_lognormal",0.981267781844747
2010,1000,"real",0.906190748367493
2010,1000,"control_lognormal",0.862934714202116
2010,2000,"real",0.734737115787012
2010,2000,"control_lognormal",0.748719228124046
2011,50,"real",1.67105661855416
2011,50,"control_lognormal",1.69820105747482
2011,100,"real",1.72770975122608
2011,100,"control_lognormal",1.29470098269636
2011,200,"real",1.25532631278873
2011,200,"control_lognormal",1.15880441825966
2011,500,"real",1.09726791237014
2011,500,"control_lognormal",1.0478544329528
2011,1000,"real",0.908805769473196
2011,1000,"control_lognormal",0.898235260617614
2011,2000,"real",0.731783479168573
2011,2000,"control_lognormal",0.76356175941801
2012,50,"real",1.67879887926263
2012,50,"control_lognormal",1.54110040881337
2012,100,"real",1.72257514547276
2012,100,"control_lognormal",1.27079085073171
2012,200,"real",1.31233640602415
2012,200,"control_lognormal",1.14577536297502
2012,500,"real",1.0862040064553
2012,500,"control_lognormal",0.968400242687064
2012,1000,"real",0.906180047818573
2012,1000,"control_lognormal",0.884633233257721
2012,2000,"real",0.735868624588624
2012,2000,"control_lognormal",0.743342523578417
2013,50,"real",1.69219064426748
2013,50,"control_lognormal",1.32629235512805
2013,100,"real",1.65272085888697
2013,100,"control_lognormal",1.29443361334893
2013,200,"real",1.26912559390221
2013,200,"control_lognormal",1.16676207757225
2013,500,"real",1.11006466460754
2013,500,"control_lognormal",1.07322973640509
2013,1000,"real",0.90739344413942
2013,1000,"control_lognormal",0.95174794375257
2013,2000,"real",0.740928415901449
2013,2000,"control_lognormal",0.785165318894416
2014,50,"real",1.58634742733408
2014,50,"control_lognormal",1.29871139373455
2014,100,"real",1.66222945371103
2014,100,"control_lognormal",1.27610837410036
2014,200,"real",1.29038666956638
2014,200,"control_lognormal",1.11132703845702
2014,500,"real",1.0680489227125
2014,500,"control_lognormal",0.954446205633518
2014,1000,"real",0.912555366092246
2014,1000,"control_lognormal",0.877245406540471
2014,2000,"real",0.73343794634237
2014,2000,"control_lognormal",0.742223521011784
2015,50,"real",1.5728937967492
2015,50,"control_lognormal",1.30120153855519
2015,100,"real",1.54272397133876
2015,100,"control_lognormal",1.34217675838507
2015,200,"real",1.19499437577963
2015,200,"control_lognormal",1.20234691239243
2015,500,"real",1.03802763123922
2015,500,"control_lognormal",1.02396051917741
2015,1000,"real",0.916921626879623
2015,1000,"control_lognormal",0.845799773563283
2015,2000,"real",0.734543172236481
2015,2000,"control_lognormal",0.73034303488611
2016,50,"real",1.6780388323293
2016,50,"control_lognormal",1.21490593701911
2016,100,"real",1.52744541141975
2016,100,"control_lognormal",1.1379586214093
2016,200,"real",1.18904166587366
2016,200,"control_lognormal",1.10297987549105
2016,500,"real",1.06232015953742
2016,500,"control_lognormal",1.00178894927891
2016,1000,"real",0.90660941996385
2016,1000,"control_lognormal",0.853488067108272
2016,2000,"real",0.726753202309501
2016,2000,"control_lognormal",0.749430735281075
2017,50,"real",1.70816928500232
2017,50,"control_lognormal",1.19898529185855
2017,100,"real",1.69042467837308
2017,100,"control_lognormal",1.30011664173886
2017,200,"real",1.22687306482674
2017,200,"control_lognormal",1.06797579131878
2017,500,"real",1.05593352362932
2017,500,"control_lognormal",0.970536251638922
2017,1000,"real",0.905418016129373
2017,1000,"control_lognormal",0.869387053688652
2017,2000,"real",0.7245230673134
2017,2000,"control_lognormal",0.736565122156762
2018,50,"real",1.70491890952573
2018,50,"control_lognormal",1.08548664496175
2018,100,"real",1.73122890809785
2018,100,"control_lognormal",1.22655956181521
2018,200,"real",1.22405447201038
2018,200,"control_lognormal",1.14694917716734
2018,500,"real",1.05335027790882
2018,500,"control_lognormal",0.957061403437156
2018,1000,"real",0.903966548669187
2018,1000,"control_lognormal",0.870461302189151
2018,2000,"real",0.731244625973138
2018,2000,"control_lognormal",0.735572535276806
2019,50,"real",1.85994463140499
2019,50,"control_lognormal",1.65542122921224
2019,100,"real",1.69690191547091
2019,100,"control_lognormal",1.47422250380299
2019,200,"real",1.21596555873008
2019,200,"control_lognormal",1.24395860795823
2019,500,"real",1.0662684688144
2019,500,"control_lognormal",1.02015277791392
2019,1000,"real",0.912490299519906
2019,1000,"control_lognormal",0.893226582577442
2019,2000,"real",0.721803522989208
2019,2000,"control_lognormal",0.744028612002156
