"panel","pair","mean_log_eta","var_log_eta","n_cells","intercept_se","slope_se","r_squared"
"real","ARG_CPV",-0.641732394766637,2.1209442765363,29,NA,NA,NA
"real","ARG_CRI",-0.584586257407071,1.65965101065647,32,NA,NA,NA
"real","ARG_CYP",-0.0181837623103072,0.221596814187375,32,NA,NA,NA
"real","ARG_DEU",0.0502375148896885,0.0715823601624313,32,NA,NA,NA
"real","ARG_DNK",0.0756897327544999,0.154053049428263,32,NA,NA,NA
"real","ARG_DOM",-0.460807916667895,1.49280629082949,32,NA,NA,NA
"real","ARG_ESP",-0.0342271942685076,0.0463265538324585,32,NA,NA,NA
"real","ARG_FIN",-0.0377463420999885,0.438860002987934,32,NA,NA,NA
"real","ARG_FRA",0.05090689570312,0.0621986055145123,32,NA,NA,NA
"real","ARG_GAB",0.00932111434000285,0.369602092837793,32,NA,NA,NA
"real","ARG_GBR",-0.0525610434516117,0.0393607192201842,32,NA,NA,NA
"real","ARG_GLP",0.0688929006243605,1.11809162752429,8,NA,NA,NA
"real","ARG_GRC",0.0683163266046121,0.100233231750109,32,NA,NA,NA
"real","ARG_GRD",-0.226602539279321,0.393864715529523,31,NA,NA,NA
"real","ARG_GTM",-0.532503782587469,1.76748832290214,32,NA,NA,NA
"real","ARG_GUF",0.282845904794143,1.87707585020846,10,NA,NA,NA
"real","ARG_HND",-0.540190917760499,1.48081138076701,30,NA,NA,NA
"real","ARG_HTI",-0.774657706985992,2.39260091364666,32,NA,NA,NA
"real","ARG_HUN",-0.230238823145945,1.17946538393573,32,NA,NA,NA
"real","ARG_IRL",-0.462580616566264,0.52687501100701,32,NA,NA,NA
"real","ARG_ISL",-0.7542933865014,0.656264009195851,32,NA,NA,NA
"real","ARG_ISR",-0.0360093498452086,0.146103411479156,20,NA,NA,NA
"real","ARG_ITA",0.00826965889930578,0.046169163770974,32,NA,NA,NA
"real","ARG_JAM",-0.189959210571461,0.712133318342115,30,NA,NA,NA
"real","ARG_JOR",-0.607639269855545,2.90656215669875,32,NA,NA,NA
"real","ARG_JPN",0.0127300260565919,0.145540689819068,32,NA,NA,NA
"real","ARG_KWT",-0.506807584166515,2.09977005679731,32,NA,NA,NA
"real","ARG_LBN",-0.292697529920497,0.428891535199877,32,NA,NA,NA
"real","ARG_MLT",-0.731287160885905,1.62896123705706,32,NA,NA,NA
"real","ARG_MTQ",0.215216478808525,0.784864153797026,8,NA,NA,NA
"real","ARG_MUS",-0.345749290800564,0.967330088136969,30,NA,NA,NA
"real","ARG_NLD",0.0470226559666031,0.0812280705235615,32,NA,NA,NA
"real","ARG_NOR",0.268455274400687,0.585915934955333,32,NA,NA,NA
"real","ARG_NZL",-0.455295978852808,0.616621355714119,32,NA,NA,NA
"real","ARG_PAN",-0.990707572951108,3.56788837070392,23,NA,NA,NA
"real","ARG_POL",-0.582212506585712,0.820835930404447,32,NA,NA,NA
"real","ARG_PRT",-0.00722726636894444,0.319602819460568,32,NA,NA,NA
"real","ARG_REU",-0.520425320357904,3.73909953000882,10,NA,NA,NA
"real","ARG_SAU",-0.712162891600876,0.847178170828355,32,NA,NA,NA
"real","ARG_SEN",-0.845053578751729,2.09066520507317,32,NA,NA,NA
"real","ARG_SLV",-0.438513430380764,1.56635358640952,30,NA,NA,NA
"real","ARG_SUR",-0.530176772115988,0.648758371977177,32,NA,NA,NA
"real","ARG_SWE",0.0346016853380921,0.109616051212343,32,NA,NA,NA
"real","ARG_SYR",-0.124675922502918,0.251726992155786,32,NA,NA,NA
"real","ARG_TGO",-0.434688630676181,1.20032283194282,30,NA,NA,NA
"real","ARG_TUR",-0.0552534426509779,0.71716075410274,32,NA,NA,NA
"real","ARG_TWN",-0.0374614918312498,0.373167460466285,32,NA,NA,NA
"real","ARG_UGA",-1.22721846399695,3.16093365213802,27,NA,NA,NA
"real","ARG_USA",-0.171017299931261,0.297305016314294,32,NA,NA,NA
"real","ARG_ZAF",0.198582032250425,0.469350617320687,27,NA,NA,NA
"real","ARG_ZMB",-0.343842916171782,2.37973541993573,28,NA,NA,NA
"real","ATG_AUT",-0.103864207971379,4.10772110019618,18,NA,NA,NA
"real","ATG_CAN",0.983566315431581,2.96172891777171,32,NA,NA,NA
"real","ATG_CHE",0.718259809923496,4.90425970852617,32,NA,NA,NA
"real","ATG_CHN",1.52727600265404,8.26988598214609,27,NA,NA,NA
"real","ATG_DEU",-2.76934324315121,8.44139804796047,19,NA,NA,NA
"real","ATG_FIN",-0.0811754689309861,3.64243684035594,18,NA,NA,NA
"real","ATG_FRA",-1.02172811333136,2.52767655377871,18,NA,NA,NA
"real","ATG_GBR",0.40296800441458,1.68453442513304,19,NA,NA,NA
"real","ATG_GRC",-0.56546819795435,3.95916413178085,10,NA,NA,NA
"real","ATG_JPN",0.973365515701461,3.39971886389916,29,NA,NA,NA
"real","ATG_NLD",-0.885451377730324,4.63642419773665,19,NA,NA,NA
"real","ATG_PRT",-1.02744212482453,4.56494405225078,19,NA,NA,NA
"real","ATG_SWE",-0.776636532375122,4.55649025750732,17,NA,NA,NA
"real","ATG_USA",1.0270525099817,2.26726464222877,32,NA,NA,NA
"real","AUS_AFG",-0.985685754985746,2.54037194285026,32,NA,NA,NA
"real","AUS_AGO",-0.435925873510942,1.09959174092292,32,NA,NA,NA
"real","AUS_AIA",-0.542692577537832,4.29646195974187,23,NA,NA,NA
"real","AUS_ALB",-0.943474236514164,2.89124597409098,31,NA,NA,NA
"real","AUS_ANT",-0.509951793181218,0.865687357653557,23,NA,NA,NA
"real","AUS_ARE",0.0596230776355533,0.197103858693813,32,NA,NA,NA
"real","AUS_ARG",0.0468808461001906,0.131397342488423,32,NA,NA,NA
"real","AUS_ATG",-0.132224119978739,0.705698495605869,31,NA,NA,NA
"real","AUS_AUT",-0.284439105816433,0.36955850701235,32,NA,NA,NA
"real","AUS_BDI",-0.400619374841386,0.846147783325767,31,NA,NA,NA
"real","AUS_BEN",-1.18562142227877,2.62287953435017,32,NA,NA,NA
"real","AUS_BFA",-1.59751452685939,3.12160852327305,32,NA,NA,NA
"real","AUS_BGD",0.00136547316559314,0.10085061153211,32,NA,NA,NA
"real","AUS_BGR",-0.276482058445057,0.735564064874658,32,NA,NA,NA
"real","AUS_BHR",-0.359472674245447,0.579063007983537,32,NA,NA,NA
"real","AUS_BHS",0.123401356097961,0.817899659555866,32,NA,NA,NA
"real","AUS_BLZ",-0.348764369481761,1.193982869795,31,NA,NA,NA
"real","AUS_BMU",0.192349905701692,1.90526887675129,32,NA,NA,NA
"real","AUS_BOL",-0.377215699237263,0.633311132110577,32,NA,NA,NA
"real","AUS_BRA",0.0809528658041792,0.0873283204445528,32,NA,NA,NA
"real","AUS_BRB",0.17224358196792,0.405228539411103,32,NA,NA,NA
"real","AUS_BRN",-0.00188287902763032,0.18762731448646,21,NA,NA,NA
"real","AUS_BTN",-0.289177595285913,1.41066485426128,32,NA,NA,NA
"real","AUS_BWA",0.0555879797465078,2.77085277024546,27,NA,NA,NA
"real","AUS_CAN",0.127961379699194,0.0897834357588056,30,NA,NA,NA
"real","AUS_CCK",-0.0713248940588168,0.270047290193916,32,NA,NA,NA
"real","AUS_CHE",-0.118841997666953,0.0459137050838544,32,NA,NA,NA
"real","AUS_CHL",-0.0439472583774246,0.0868401474563972,20,NA,NA,NA
"real","AUS_CHN",-0.14920586524022,0.0496098991695464,26,NA,NA,NA
"real","AUS_CIV",-0.961473419262568,1.67999976675721,32,NA,NA,NA
"real","AUS_CMR",-0.738796801526152,2.06884204757193,32,NA,NA,NA
"real","AUS_COD",-2.19419272186655,3.83381045680892,31,NA,NA,NA
"real","AUS_COL",0.284081659389964,0.495623185538707,32,NA,NA,NA
"real","AUS_COM",-1.1740732500612,3.28095965556798,28,NA,NA,NA
"real","AUS_CPV",-1.12595473238653,4.41228192559114,27,NA,NA,NA
"real","AUS_CRI",-0.374907130567937,0.643476164668191,32,NA,NA,NA
