"pair","theta_A","n_post_cells"
"ALB_KNA",-0.869768623258207,4
"ALB_LBN",0.533027755503712,9
"ALB_LKA",0.547628067299775,4
"ALB_MAC",0.0712379103628452,6
"ALB_MAR",0.360960751690283,8
"ALB_MDG",0.404753930559124,4
"ALB_MEX",0.189144706298414,20
"ALB_MOZ",-0.50185872784717,6
"ALB_MUS",-0.803405975591234,15
"ALB_MYS",0.0199124878879144,6
"ALB_NCL",-0.377225719026836,8
"ALB_NER",-0.778834702934992,6
"ALB_NIC",0.323564190167343,4
"ALB_NZL",-0.0666077554191224,7
"ALB_PAK",-0.438601188598503,5
"ALB_PAN",-1.69573822375711,10
"ALB_PER",-0.224886474185913,14
"ALB_PYF",0.351924926906639,15
"ALB_RUS",-0.0408173481694313,12
"ALB_SAU",0.09993308869972,8
"ALB_SEN",-0.16135634092906,4
"ALB_SGP",-1.58615173341179,13
"ALB_SLV",-1.01852178543593,8
"ALB_TWN",-0.348514237016083,14
"ALB_UKR",-0.494212584659172,13
"ALB_USA",-0.155854598698809,21
"ALB_VEN",0.376128295530139,5
"ALB_YEM",0.192733073527301,4
"ALB_ZAF",0.656822112301542,7
"AND_AGO",-2.892584311525,6
"AND_ALB",-2.21783501246098,11
"AND_ARE",-0.144007606872618,4
"AND_ARG",0.0137517451760709,15
"AND_AUS",0.14461623818976,8
"AND_AZE",-1.55241372904995,5
"AND_BFA",-1.0507174271821,5
"AND_BGD",-3.1322934953862,8
"AND_BIH",-1.12530312588638,10
"AND_BLR",-1.00868557698288,5
"AND_BWA",-2.46094125771467,9
"AND_CAN",0.317229721020103,8
"AND_CHL",1.16378135907448,5
"AND_CHN",-0.0300743190955367,8
"AND_CMR",-1.65006858493725,4
"AND_COL",1.07724185001506,4
"AND_COM",-0.663103954499154,5
"AND_CPV",-1.67686159037873,5
"AND_CRI",-0.65248098268994,9
"AND_DOM",-1.1012580226981,6
"AND_DZA",-3.90683330095781,9
"AND_EGY",-1.95137628417318,11
"AND_ETH",-0.77512584451779,8
"AND_GEO",-1.83074068952825,9
"AND_GMB",-0.222996568659425,4
"AND_GTM",0.826455669878713,6
"AND_GUY",1.06690176338545,5
"AND_HKG",-0.300337189558333,9
