"pair","theta_A","n_post_cells","qualifies"
"BGD_MDV",-0.178022481305223,22,TRUE
"BGD_MMR",-1.15121552208687,20,TRUE
"BGD_NPL",-1.52530403413213,23,TRUE
"BGD_VEN",0.3285468812656,13,TRUE
"BGR_ABW",1.05045407808358,9,TRUE
"BGR_ALB",-0.951708914621424,15,TRUE
"BGR_AND",1.59835455873338,11,TRUE
"BGR_ATG",-3.11331575671541,10,TRUE
"BGR_AUT",0.700804931148947,25,TRUE
"BGR_BHS",-1.63591570461125,10,TRUE
"BGR_BLZ",-0.329782140562557,10,TRUE
"BGR_BMU",-0.470892931663422,11,TRUE
"BGR_BRB",-0.675674164823879,10,TRUE
"BGR_CHE",0.270455496091607,25,TRUE
"BGR_CHL",1.15089856335843,11,TRUE
"BGR_CMR",-0.329281312477373,4,TRUE
"BGR_COL",-0.737248611938137,5,TRUE
"BGR_CRI",0.754576182966898,5,TRUE
"BGR_CYM",-2.76134917152182,10,TRUE
"BGR_CYP",0.954842169056891,14,TRUE
"BGR_DEU",0.759561691266653,24,TRUE
"BGR_DMA",-0.948167780165319,8,TRUE
"BGR_DNK",0.848754231589121,24,TRUE
"BGR_DOM",-0.492660025022127,10,TRUE
"BGR_DZA",0.343928410808908,11,TRUE
"BGR_EGY",0.388453828388338,11,TRUE
"BGR_ESP",1.06334841164286,24,TRUE
"BGR_EST",0.110878226328256,16,TRUE
"BGR_FJI",-0.474185693520479,9,TRUE
"BGR_FRA",1.89324225181283,24,TRUE
"BGR_FRO",-1.18454409223894,9,TRUE
"BGR_GBR",3.98427213290369,24,TRUE
"BGR_GEO",-0.628009744167898,4,TRUE
"BGR_GRC",1.03987792146154,24,TRUE
"BGR_GRD",-2.64337405738259,9,TRUE
"BGR_GRL",-1.42911931280427,11,TRUE
"BGR_GTM",0.945985816953379,5,TRUE
"BGR_GUY",1.5693393518632,10,TRUE
"BGR_HND",-1.3711165452624,5,TRUE
"BGR_HRV",1.48166747600577,15,TRUE
"BGR_HUN",0.937299735392463,19,TRUE
"BGR_IRL",1.16812820214747,24,TRUE
"BGR_ISL",1.34487686584851,25,TRUE
"BGR_ISR",-0.0361493778511732,16,TRUE
"BGR_ITA",1.96233426762015,24,TRUE
"BGR_JAM",-0.227298953315985,10,TRUE
"BGR_JOR",-0.710693377647365,11,TRUE
"BGR_KNA",-0.952397054533653,10,TRUE
"BGR_KOR",0.681503751249116,7,TRUE
"BGR_LBN",-0.195514390320323,11,TRUE
"BGR_LCA",-3.2684161095473,8,TRUE
"BGR_LTU",0.0195811753986006,16,TRUE
"BGR_LVA",-0.0870161055519754,15,TRUE
"BGR_MAR",0.169919252023319,11,TRUE
"BGR_MDG",-1.26398267659018,6,TRUE
"BGR_MEX",-0.769612770433214,11,TRUE
"BGR_MKD",-0.71524783467732,18,TRUE
"BGR_MLT",0.368023968078127,14,TRUE
"BGR_MUS",1.10215962333264,6,TRUE
"BGR_NCL",-0.472379633136103,11,TRUE
"BGR_NIC",-0.406585280765045,5,TRUE
"BGR_NLD",1.05124892746293,24,TRUE
"BGR_NOR",3.4655114779248,25,TRUE
"BGR_PAN",-0.660514893760761,5,TRUE
"BGR_PER",-0.638955608640972,5,TRUE
"BGR_PNG",-2.26524865139273,6,TRUE
"BGR_POL",1.22769814650474,19,TRUE
"BGR_PRT",1.13361026987068,24,TRUE
"BGR_PYF",0.692659820903197,11,TRUE
"BGR_ROU",1.32696087391878,19,TRUE
"BGR_SLV",-0.497904858822315,5,TRUE
"BGR_SMR",-0.317568280584271,11,TRUE
"BGR_SUR",0.0682588968249247,10,TRUE
"BGR_SVN",1.67808377686085,21,TRUE
"BGR_SWE",3.01747339418946,25,TRUE
"BGR_SYC",-0.104943541864752,6,TRUE
"BGR_SYR",0.19124447688157,11,TRUE
"BGR_TTO",-1.96812371491489,10,TRUE
"BGR_TUN",0.410565638218702,11,TRUE
"BGR_TUR",0.56077512752567,19,TRUE
"BGR_UKR",-0.120299559983557,4,TRUE
"BGR_VCT",-3.31587090984186,10,TRUE
"BGR_VGB",-0.782440397985561,11,TRUE
"BGR_ZAF",0.842181018253287,11,TRUE
"BGR_ZWE",-0.288016309345275,6,TRUE
"BHR_CHE",-1.02675357128849,4,TRUE
"BHR_DZA",0.580242037957607,9,TRUE
"BHR_EGY",2.40973257400543,20,TRUE
"BHR_ISL",-4.84621951596492,3,FALSE
"BHR_JOR",-0.838207505973878,20,TRUE
"BHR_MAR",2.50635027928378,20,TRUE
"BHR_NOR",0.458854399422335,4,TRUE
"BHR_SGP",-0.308416918527487,5,TRUE
"BHR_TUN",-0.695502487533233,20,TRUE
"BHR_USA",0.883184923322719,12,TRUE
"BHS_AUT",0.159912678578099,10,TRUE
"BHS_BEL",-3.34923652654666,10,TRUE
"BHS_BGR",-2.66191483617741,8,TRUE
"BHS_CYP",-1.79918910257443,6,TRUE
"BHS_CZE",-1.54794732210883,10,TRUE
"BHS_DEU",-1.998051303731,10,TRUE
"BHS_DNK",-4.78806308023385,10,TRUE
"BHS_ESP",-4.56829787459646,10,TRUE
