"panel","year","instrument","grid_point","value","extra"
"control_lognormal",2005,"mean_excess","p96",66948.0052809649,38.2031936637855
"control_lognormal",2005,"mean_excess","p97",87837.5024407591,29.2176235125882
"control_lognormal",2005,"mean_excess","p98",127937.04729901,20.6752215267279
"control_lognormal",2005,"mean_excess","p99",236391.181680951,11.5758420168915
"control_lognormal",2005,"max_to_sum","p1",0.08722251544692,82068778.7713964
"control_lognormal",2005,"max_to_sum","p2",0.316660139134099,161815365394858
"control_lognormal",2005,"max_to_sum","p3",0.471140647703831,7.78518899564164e+20
"control_lognormal",2005,"max_to_sum","p4",0.562679326622712,4.66622153822578e+27
"control_lognormal",2006,"mean_excess","p80",14304.1387998368,359.445402125897
"control_lognormal",2006,"mean_excess","p81",15050.4347173614,323.104293491164
"control_lognormal",2006,"mean_excess","p82",15878.0928397261,287.197801018242
"control_lognormal",2006,"mean_excess","p83",16801.4406380429,253.863240322463
"control_lognormal",2006,"mean_excess","p84",17838.9543305956,225.737572167882
"control_lognormal",2006,"mean_excess","p85",19009.6727784321,202.926164188901
"control_lognormal",2006,"mean_excess","p86",20347.8558440967,179.563153228021
"control_lognormal",2006,"mean_excess","p87",21888.7381789928,159.09088341161
"control_lognormal",2006,"mean_excess","p88",23677.7888476422,137.393336367902
"control_lognormal",2006,"mean_excess","p89",25788.762393392,120.869717431113
"control_lognormal",2006,"mean_excess","p90",28295.3920038918,102.919835184124
"control_lognormal",2006,"mean_excess","p91",31359.2432283623,89.0823246625189
"control_lognormal",2006,"mean_excess","p92",35178.702291965,78.3911040523096
"control_lognormal",2006,"mean_excess","p93",40050.5328056763,67.2947021129068
"control_lognormal",2006,"mean_excess","p94",46505.655957496,57.8891867948723
"control_lognormal",2006,"mean_excess","p95",55373.1054398448,47.1887063917459
"control_lognormal",2006,"mean_excess","p96",68384.3775982743,35.545473011628
"control_lognormal",2006,"mean_excess","p97",89590.1823608782,27.1408262566663
"control_lognormal",2006,"mean_excess","p98",130485.76600259,20.0330282201561
"control_lognormal",2006,"mean_excess","p99",240979.468547628,11.5523121829092
"control_lognormal",2006,"max_to_sum","p1",0.200384120767963,86109659.288115
"control_lognormal",2006,"max_to_sum","p2",0.755050714507718,394324921482305
"control_lognormal",2006,"max_to_sum","p3",0.939489499007575,5.46831586135732e+21
"control_lognormal",2006,"max_to_sum","p4",0.983986162663083,9.00889874224561e+28
"control_lognormal",2007,"mean_excess","p80",164983.273582911,3813.92577925267
"control_lognormal",2007,"mean_excess","p81",173648.158351206,3400.64879482306
"control_lognormal",2007,"mean_excess","p82",183274.081887998,3065.88739225917
"control_lognormal",2007,"mean_excess","p83",194067.056395291,2767.69203938992
"control_lognormal",2007,"mean_excess","p84",206167.135633088,2454.88657640664
"control_lognormal",2007,"mean_excess","p85",219874.607455179,2146.13702330875
"control_lognormal",2007,"mean_excess","p86",235590.979610119,1905.35246728285
"control_lognormal",2007,"mean_excess","p87",253663.479985937,1693.13776681805
"control_lognormal",2007,"mean_excess","p88",274738.044916705,1495.52474996172
"control_lognormal",2007,"mean_excess","p89",299718.024587672,1304.13004356189
"control_lognormal",2007,"mean_excess","p90",329584.589521801,1125.31924998303
"control_lognormal",2007,"mean_excess","p91",366054.786176316,950.093641165836
"control_lognormal",2007,"mean_excess","p92",411762.719036092,792.788350989118
"control_lognormal",2007,"mean_excess","p93",470317.47062672,676.865824677344
"control_lognormal",2007,"mean_excess","p94",548244.153440853,546.314369340338
"control_lognormal",2007,"mean_excess","p95",657582.973035828,443.295568408618
"control_lognormal",2007,"mean_excess","p96",820722.278877489,345.504159092851
"control_lognormal",2007,"mean_excess","p97",1091760.89192193,267.776232840812
"control_lognormal",2007,"mean_excess","p98",1633424.77232196,196.855239675102
"control_lognormal",2007,"mean_excess","p99",3237696.39153106,126.802789521003
"control_lognormal",2007,"max_to_sum","p1",0.826727483490967,1011215160.07823
"control_lognormal",2007,"max_to_sum","p2",0.997113968289347,700917808565787904
"control_lognormal",2007,"max_to_sum","p3",0.999920961118627,5.84321907830269e+26
"control_lognormal",2007,"max_to_sum","p4",0.999997580081839,4.88455315746109e+35
"control_lognormal",2008,"mean_excess","p80",27993.1244429056,536.744441045314
"control_lognormal",2008,"mean_excess","p81",29456.6552493622,485.09316619819
"control_lognormal",2008,"mean_excess","p82",31081.3683402221,437.489908286666
"control_lognormal",2008,"mean_excess","p83",32893.1219368157,383.318446782038
"control_lognormal",2008,"mean_excess","p84",34928.8814564575,336.796688234825
"control_lognormal",2008,"mean_excess","p85",37238.6918885065,291.53392975821
"control_lognormal",2008,"mean_excess","p86",39866.6920924,254.17402707438
"control_lognormal",2008,"mean_excess","p87",42895.0193701887,223.855523880031
"control_lognormal",2008,"mean_excess","p88",46416.0054361703,193.165652134671
"control_lognormal",2008,"mean_excess","p89",50568.8974708986,168.151759338344
"control_lognormal",2008,"mean_excess","p90",55544.310447442,142.015231359877
"control_lognormal",2008,"mean_excess","p91",61585.7878927961,120.642778813195
"control_lognormal",2008,"mean_excess","p92",69106.2135883404,102.665323087778
"control_lognormal",2008,"mean_excess","p93",78704.4317268279,85.4785473791932
"control_lognormal",2008,"mean_excess","p94",91371.421565989,68.8324087556533
"control_lognormal",2008,"mean_excess","p95",109001.896194009,55.5688439982305
"control_lognormal",2008,"mean_excess","p96",134818.944905466,41.5971199158044
"control_lognormal",2008,"mean_excess","p97",176956.74450309,31.3132552959796
"control_lognormal",2008,"mean_excess","p98",258120.21973752,22.2226145855992
"control_lognormal",2008,"mean_excess","p99",475176.20334775,11.4860801947751
"control_lognormal",2008,"max_to_sum","p1",0.117434802845965,173551445.945437
"control_lognormal",2008,"max_to_sum","p2",0.52204317154335,795689632216622
"control_lognormal",2008,"max_to_sum","p3",0.796877728477048,1.06238881313085e+22
"control_lognormal",2008,"max_to_sum","p4",0.914090676657745,1.88760430043656e+29
"control_lognormal",2009,"mean_excess","p80",82102.4339281566,1833.58549204744
"control_lognormal",2009,"mean_excess","p81",86420.0342279493,1666.41248340071
"control_lognormal",2009,"mean_excess","p82",91216.8686781206,1514.30007694422
"control_lognormal",2009,"mean_excess","p83",96556.5612408126,1329.91090719141
"control_lognormal",2009,"mean_excess","p84",102581.422142341,1179.38689228288
"control_lognormal",2009,"mean_excess","p85",109406.968891622,1036.65310462312
"control_lognormal",2009,"mean_excess","p86",117205.504747791,913.773031035666
"control_lognormal",2009,"mean_excess","p87",126171.002315893,813.332591559236
"control_lognormal",2009,"mean_excess","p88",136657.902445403,720.670230411721
"control_lognormal",2009,"mean_excess","p89",149041.542552067,625.250489489774
"control_lognormal",2009,"mean_excess","p90",163835.00224077,533.325100904139
"control_lognormal",2009,"mean_excess","p91",181957.493747617,458.371280157768
"control_lognormal",2009,"mean_excess","p92",204577.984826097,384.841032919689
"control_lognormal",2009,"mean_excess","p93",233610.555299378,316.684125345133
"control_lognormal",2009,"mean_excess","p94",272096.833652856,257.498536520553
"control_lognormal",2009,"mean_excess","p95",326002.896513666,209.106547068659
"control_lognormal",2009,"mean_excess","p96",406543.341005527,163.933368939899
"control_lognormal",2009,"mean_excess","p97",539546.477328185,126.211235070532
"control_lognormal",2009,"mean_excess","p98",803380.155016817,87.3702184247939
"control_lognormal",2009,"mean_excess","p99",1570691.74919824,43.3314151831227
"control_lognormal",2009,"max_to_sum","p1",0.408268287495576,507360910.203772
"control_lognormal",2009,"max_to_sum","p2",0.874680124114095,49054182667283120
"control_lognormal",2009,"max_to_sum","p3",0.969459264084605,9.16765766583868e+24
"control_lognormal",2009,"max_to_sum","p4",0.991641646761498,1.85650381429229e+33
"control_lognormal",2010,"mean_excess","p80",235706.91554297,4893.10380134082
"control_lognormal",2010,"mean_excess","p81",248081.020011795,4395.6006779372
"control_lognormal",2010,"mean_excess","p82",261871.516223196,3874.67127021562
"control_lognormal",2010,"mean_excess","p83",277234.287200123,3482.78935331397
"control_lognormal",2010,"mean_excess","p84",294568.184127809,3047.79598022802
"control_lognormal",2010,"mean_excess","p85",314148.579623431,2714.78704368751
"control_lognormal",2010,"mean_excess","p86",336591.176177809,2365.49754096909
"control_lognormal",2010,"mean_excess","p87",362399.625937269,2093.2276128412
"control_lognormal",2010,"mean_excess","p88",392590.576415689,1779.60797511285
"control_lognormal",2010,"mean_excess","p89",428275.671376757,1556.40608947151
"control_lognormal",2010,"mean_excess","p90",470940.893442131,1340.12814121931
"control_lognormal",2010,"mean_excess","p91",523227.098376287,1135.63768354713
"control_lognormal",2010,"mean_excess","p92",588347.428551375,974.308395232383
"control_lognormal",2010,"mean_excess","p93",672257.629631683,797.392553079304
"control_lognormal",2010,"mean_excess","p94",783648.512699173,638.202166670306
"control_lognormal",2010,"mean_excess","p95",939959.389126618,523.951396225238
"control_lognormal",2010,"mean_excess","p96",1173182.33239838,408.795123968126
"control_lognormal",2010,"mean_excess","p97",1562061.11794081,304.162409517262
"control_lognormal",2010,"mean_excess","p98",2333732.60771623,214.923151818329
"control_lognormal",2010,"mean_excess","p99",4627447.17883154,113.768421133484
"control_lognormal",2010,"max_to_sum","p1",0.65261104922005,1469101239.52254
"control_lognormal",2010,"max_to_sum","p2",0.959169991652744,958333593432610560
"control_lognormal",2010,"max_to_sum","p3",0.993138694925188,8.87377759187744e+26
"control_lognormal",2010,"max_to_sum","p4",0.998766214298378,8.45981269554267e+35
"control_lognormal",2011,"mean_excess","p80",53751.3525859124,974.172833362793
"control_lognormal",2011,"mean_excess","p81",56567.2592481041,873.90825024034
"control_lognormal",2011,"mean_excess","p82",59704.0713714026,776.65379952377
"control_lognormal",2011,"mean_excess","p83",63196.884958817,689.160045207097
"control_lognormal",2011,"mean_excess","p84",67122.7276912831,608.156365107979
"control_lognormal",2011,"mean_excess","p85",71582.5189739933,533.634131355451
"control_lognormal",2011,"mean_excess","p86",76657.6969730007,464.087107367575
"control_lognormal",2011,"mean_excess","p87",82507.5289126199,405.366210084409
"control_lognormal",2011,"mean_excess","p88",89345.7456899369,352.354060052036
"control_lognormal",2011,"mean_excess","p89",97392.0944694194,306.781999652505
"control_lognormal",2011,"mean_excess","p90",107029.161586005,265.446522963257
"control_lognormal",2011,"mean_excess","p91",118819.304809584,226.661420574215
"control_lognormal",2011,"mean_excess","p92",133466.243784905,190.212764863718
"control_lognormal",2011,"mean_excess","p93",152221.39475907,156.982244653695
"control_lognormal",2011,"mean_excess","p94",177222.715212353,130.005172789001
"control_lognormal",2011,"mean_excess","p95",211933.16416605,106.178266228499
"control_lognormal",2011,"mean_excess","p96",263585.170843016,84.4357909700768
"control_lognormal",2011,"mean_excess","p97",348648.504003107,61.0258819686152
"control_lognormal",2011,"mean_excess","p98",515133.188151847,42.8955776908926
"control_lognormal",2011,"mean_excess","p99",987285.073453824,23.1277249930182
"control_lognormal",2011,"max_to_sum","p1",0.210512388994345,338410976.605593
"control_lognormal",2011,"max_to_sum","p2",0.71814325578435,7066967855809572
"control_lognormal",2011,"max_to_sum","p3",0.910370808938139,3.97143976263259e+23
"control_lognormal",2011,"max_to_sum","p4",0.96781494692548,2.66131375956985e+31
"control_lognormal",2012,"mean_excess","p80",126392.083599681,2133.91033674271
"control_lognormal",2012,"mean_excess","p81",133032.791667214,1917.94961170739
"control_lognormal",2012,"mean_excess","p82",140410.359720687,1735.5125662865
"control_lognormal",2012,"mean_excess","p83",148652.095624807,1538.65492504276
"control_lognormal",2012,"mean_excess","p84",157919.572202737,1345.07148609913
"control_lognormal",2012,"mean_excess","p85",168419.510088139,1182.56535785004
"control_lognormal",2012,"mean_excess","p86",180414.813674495,1040.93574123058
"control_lognormal",2012,"mean_excess","p87",194246.999820446,906.206982332017
"control_lognormal",2012,"mean_excess","p88",210369.24579418,771.360617811133
"control_lognormal",2012,"mean_excess","p89",229415.057343987,668.826882811259
"control_lognormal",2012,"mean_excess","p90",252248.302051573,574.043505036854
"control_lognormal",2012,"mean_excess","p91",280126.806614087,489.642796101363
"control_lognormal",2012,"mean_excess","p92",314911.148569642,405.099646312412
"control_lognormal",2012,"mean_excess","p93",359539.996506428,328.809143730333
"control_lognormal",2012,"mean_excess","p94",418989.389982243,278.668591539218
"control_lognormal",2012,"mean_excess","p95",501929.054975767,223.922238267955
"control_lognormal",2012,"mean_excess","p96",625830.951576182,175.319129654254
"control_lognormal",2012,"mean_excess","p97",830845.460533258,127.493735208151
"control_lognormal",2012,"mean_excess","p98",1236671.23729978,88.641038612308
"control_lognormal",2012,"mean_excess","p99",2417047.14528004,45.0021122444759
"control_lognormal",2012,"max_to_sum","p1",0.374305999144805,796902728.381753
"control_lognormal",2012,"max_to_sum","p2",0.783552247003967,113552380364513872
"control_lognormal",2012,"max_to_sum","p3",0.921396588041483,2.88037945674526e+25
"control_lognormal",2012,"max_to_sum","p4",0.972013051888691,8.14434775872148e+33
"control_lognormal",2013,"mean_excess","p80",65428.2630083288,1073.07661264053
"control_lognormal",2013,"mean_excess","p81",68855.9521738454,955.91678228222
"control_lognormal",2013,"mean_excess","p82",72662.4913784431,853.674917132457
"control_lognormal",2013,"mean_excess","p83",76926.4825763007,748.390917467025
"control_lognormal",2013,"mean_excess","p84",81709.841506574,679.670595633729
"control_lognormal",2013,"mean_excess","p85",87141.1080928004,597.823727178686
"control_lognormal",2013,"mean_excess","p86",93322.4975907626,520.790252171277
"control_lognormal",2013,"mean_excess","p87",100448.962384651,457.436178327524
"control_lognormal",2013,"mean_excess","p88",108782.483971238,402.841180791908
"control_lognormal",2013,"mean_excess","p89",118581.98021648,346.184491298666
"control_lognormal",2013,"mean_excess","p90",130367.737911201,301.1220534861
"control_lognormal",2013,"mean_excess","p91",144714.432951618,265.164121441352
"control_lognormal",2013,"mean_excess","p92",162557.102628716,216.035088666791
"control_lognormal",2013,"mean_excess","p93",185524.232037948,179.678127322017
"control_lognormal",2013,"mean_excess","p94",215913.747662456,145.803475048338
"control_lognormal",2013,"mean_excess","p95",258253.666703018,110.907172524665
"control_lognormal",2013,"mean_excess","p96",321237.591787407,87.7180643848146
"control_lognormal",2013,"mean_excess","p97",424673.534123762,63.7687395632882
"control_lognormal",2013,"mean_excess","p98",627151.921248647,41.0973086212649
"control_lognormal",2013,"mean_excess","p99",1206529.06178112,24.974340023372
"control_lognormal",2013,"max_to_sum","p1",0.173405890507322,417175160.672786
"control_lognormal",2013,"max_to_sum","p2",0.456441564176536,11465140761432172
"control_lognormal",2013,"max_to_sum","p3",0.647955339879826,5.84254129685712e+23
"control_lognormal",2013,"max_to_sum","p4",0.791008148827574,3.4621684511906e+31
"control_lognormal",2014,"mean_excess","p80",88194.3985956231,1366.36120961361
"control_lognormal",2014,"mean_excess","p81",92819.8805448878,1234.48398890247
"control_lognormal",2014,"mean_excess","p82",97974.4075946196,1115.32813939464
"control_lognormal",2014,"mean_excess","p83",103714.859693476,1000.13257878112
"control_lognormal",2014,"mean_excess","p84",110169.027618277,892.633295620298
"control_lognormal",2014,"mean_excess","p85",117501.047259749,780.123098301446
"control_lognormal",2014,"mean_excess","p86",125855.029106026,702.778593404102
"control_lognormal",2014,"mean_excess","p87",135483.808495487,620.726976192571
"control_lognormal",2014,"mean_excess","p88",146744.491274413,544.060821678283
"control_lognormal",2014,"mean_excess","p89",159998.091804668,472.94138762151
"control_lognormal",2014,"mean_excess","p90",175882.142664996,409.317198453737
"control_lognormal",2014,"mean_excess","p91",195324.582426762,346.734587388082
"control_lognormal",2014,"mean_excess","p92",219498.950645005,287.257654863469
"control_lognormal",2014,"mean_excess","p93",250516.737592808,240.306505621497
"control_lognormal",2014,"mean_excess","p94",291862.720946605,194.255950322923
"control_lognormal",2014,"mean_excess","p95",349338.276635577,154.805286674751
"control_lognormal",2014,"mean_excess","p96",435069.052843731,121.51363955916
"control_lognormal",2014,"mean_excess","p97",577038.410324394,88.6091891484261
"control_lognormal",2014,"mean_excess","p98",854154.707885678,54.5284531771899
"control_lognormal",2014,"mean_excess","p99",1647594.93264731,28.036874989192
"control_lognormal",2014,"max_to_sum","p1",0.544028614267777,558560180.972071
"control_lognormal",2014,"max_to_sum","p2",0.987361314387256,93520608279795520
"control_lognormal",2014,"max_to_sum","p3",0.999594145370099,2.80705835667154e+25
"control_lognormal",2014,"max_to_sum","p4",0.999983585731131,8.5265626793244e+33
"control_lognormal",2015,"mean_excess","p80",36148.2764756341,642.251686523131
"control_lognormal",2015,"mean_excess","p81",38040.1106923815,567.451017141254
"control_lognormal",2015,"mean_excess","p82",40141.1630037844,505.818070294009
"control_lognormal",2015,"mean_excess","p83",42486.217963502,444.797340082831
"control_lognormal",2015,"mean_excess","p84",45113.1279041193,391.854657851374
"control_lognormal",2015,"mean_excess","p85",48095.5557716383,344.882654021697
"control_lognormal",2015,"mean_excess","p86",51502.6602358474,308.769226654818
"control_lognormal",2015,"mean_excess","p87",55423.2747823086,268.354269054022
"control_lognormal",2015,"mean_excess","p88",59990.3731479457,234.241340762598
"control_lognormal",2015,"mean_excess","p89",65376.9313558938,203.984592846873
"control_lognormal",2015,"mean_excess","p90",71818.6123062847,174.168327026799
"control_lognormal",2015,"mean_excess","p91",79668.9189100248,148.648086644622
"control_lognormal",2015,"mean_excess","p92",89439.5211736897,125.426385664634
"control_lognormal",2015,"mean_excess","p93",101957.720917534,106.767575474787
"control_lognormal",2015,"mean_excess","p94",118544.477582095,89.078262751773
"control_lognormal",2015,"mean_excess","p95",141537.677408457,71.2330709874904
"control_lognormal",2015,"mean_excess","p96",175600.488701339,55.0298761520215
"control_lognormal",2015,"mean_excess","p97",231165.004987272,39.9291135716607
"control_lognormal",2015,"mean_excess","p98",338800.782173186,27.275343634269
"control_lognormal",2015,"mean_excess","p99",632479.8392477,13.8143422980218
"control_lognormal",2015,"max_to_sum","p1",0.110551225368545,232528872.63653
"control_lognormal",2015,"max_to_sum","p2",0.444758233905484,1485788171349561
"control_lognormal",2015,"max_to_sum","p3",0.70904976214091,2.39576725443724e+22
"control_lognormal",2015,"max_to_sum","p4",0.854664280056708,5.10935682374687e+29
"control_lognormal",2016,"mean_excess","p80",64862.4394498523,1277.07545160966
"control_lognormal",2016,"mean_excess","p81",68265.8678164473,1151.46134521856
"control_lognormal",2016,"mean_excess","p82",72056.9166138777,1016.04063195356
"control_lognormal",2016,"mean_excess","p83",76280.7717129501,910.392854950734
"control_lognormal",2016,"mean_excess","p84",81029.9280262239,811.472910878755
"control_lognormal",2016,"mean_excess","p85",86408.6201685684,718.462883505719
"control_lognormal",2016,"mean_excess","p86",92549.5325758523,626.447719427977
"control_lognormal",2016,"mean_excess","p87",99628.3282621309,543.199129764505
"control_lognormal",2016,"mean_excess","p88",107874.103091218,461.608362577765
"control_lognormal",2016,"mean_excess","p89",117619.902998758,410.013710999721
"control_lognormal",2016,"mean_excess","p90",129294.260079172,355.603391510984
"control_lognormal",2016,"mean_excess","p91",143579.95333364,300.528042699488
"control_lognormal",2016,"mean_excess","p92",161348.372856137,252.017842391117
"control_lognormal",2016,"mean_excess","p93",184141.659323832,211.323309364707
"control_lognormal",2016,"mean_excess","p94",214394.242266017,169.8216205161
"control_lognormal",2016,"mean_excess","p95",256577.819326101,136.612149466937
"control_lognormal",2016,"mean_excess","p96",319456.817798998,107.467707043352
"control_lognormal",2016,"mean_excess","p97",423475.233629559,84.3217527413109
"control_lognormal",2016,"mean_excess","p98",627150.351199027,54.4541048554594
"control_lognormal",2016,"mean_excess","p99",1215454.19066397,31.8877224589881
"control_lognormal",2016,"max_to_sum","p1",0.203475866741404,418352633.325039
"control_lognormal",2016,"max_to_sum","p2",0.497784311341607,14556924294262078
"control_lognormal",2016,"max_to_sum","p3",0.670957637496838,9.19329384152216e+23
"control_lognormal",2016,"max_to_sum","p4",0.788173655985612,6.66192503834417e+31
"control_lognormal",2017,"mean_excess","p80",60083.5971595516,1017.4372970652
"control_lognormal",2017,"mean_excess","p81",63234.4044672386,913.262106408497
"control_lognormal",2017,"mean_excess","p82",66733.685706818,819.525293712714
"control_lognormal",2017,"mean_excess","p83",70641.4355019629,725.919439203999
"control_lognormal",2017,"mean_excess","p84",75035.662099395,647.30008862119
"control_lognormal",2017,"mean_excess","p85",80010.0549907364,567.245439539095
"control_lognormal",2017,"mean_excess","p86",85692.5149485005,503.850731934322
"control_lognormal",2017,"mean_excess","p87",92242.7340844398,445.605363432355
"control_lognormal",2017,"mean_excess","p88",99891.4500520932,377.471326416588
"control_lognormal",2017,"mean_excess","p89",108898.251458507,326.624110709186
"control_lognormal",2017,"mean_excess","p90",119684.933564294,279.220157358253
"control_lognormal",2017,"mean_excess","p91",132835.429016154,235.373349352107
"control_lognormal",2017,"mean_excess","p92",149223.510371157,195.919381618887
"control_lognormal",2017,"mean_excess","p93",170234.705393053,163.747085012998
"control_lognormal",2017,"mean_excess","p94",198130.590062596,134.967970699138
"control_lognormal",2017,"mean_excess","p95",236941.334342299,108.079950020302
"control_lognormal",2017,"mean_excess","p96",294674.547616812,84.1118212891443
"control_lognormal",2017,"mean_excess","p97",389837.930037457,64.0288634731957
"control_lognormal",2017,"mean_excess","p98",576311.318202474,44.8812872141424
"control_lognormal",2017,"mean_excess","p99",1108427.0733128,25.0147626218907
"control_lognormal",2017,"max_to_sum","p1",0.13628065535841,388777532.806167
"control_lognormal",2017,"max_to_sum","p2",0.406235588631319,6910234381589881
"control_lognormal",2017,"max_to_sum","p3",0.618405747770361,2.40509702337062e+23
"control_lognormal",2017,"max_to_sum","p4",0.769394816168624,1.02421760176395e+31
"control_lognormal",2018,"mean_excess","p80",41495.8145600566,696.078428009167
"control_lognormal",2018,"mean_excess","p81",43666.7747888055,621.698676114173
"control_lognormal",2018,"mean_excess","p82",46083.2575502782,544.007922004661
"control_lognormal",2018,"mean_excess","p83",48776.9428946856,492.975661389501
"control_lognormal",2018,"mean_excess","p84",51801.3144914565,433.142379879282
